sample_no,SampleID,Method,Rt1,Rt2,QuantSN,QuantMass,QuantArea,Concentration,MolecularFormula,Monoiso_Mass,Smiles,IDLevel,Name,CAS
228,not applicable,LC,5.65,LC,Qualitative,238.09880000000001,NA,Qualitative,C8H18N2O4S,not applicable,OCCN1CCN(CCS(O)(=O)=O)CC1,3,(4-(2-Hydroxyethyl)-1-piperazineethanesulfonic acid,7365-45-9
229,*1 229,GCxGC,3.5127314814814817E-3,1.9748600000000001,412,BPI(95.04859Â±0.00100),2629096,696.89436087524996,C8H12O,124.08880000000001,CC/C=C/C=C/C(C)=O,2,"(E,E)-3,5-Octadien-2-one",30086-02-3
228,3 228,GCxGC,3.5127314814814817E-3,1.9748600000000001,551,BPI(95.049137Â±3ppm),2334519,588.58994461071995,C8H12O,124.08880000000001,CC/C=C/C=C/C(C)=O,2,"(E,E)-3,5-Octadien-2-one",30086-02-3
232,*1 232,GCxGC,3.5127314814814817E-3,1.968,170,BPI(95.04859Â±0.00100),376171,326.977312396537,C8H12O,124.08880000000001,CC/C=C/C=C/C(C)=O,2,"(E,E)-3,5-Octadien-2-one",30086-02-3
233,*1 233,GCxGC,3.5127314814814817E-3,1.968,83,BPI(95.04859Â±0.00100),239017,164.001860293801,C8H12O,124.08880000000001,CC/C=C/C=C/C(C)=O,2,"(E,E)-3,5-Octadien-2-one",30086-02-3
234,3 234,GCxGC,3.5127314814814817E-3,1.9702999999999899,121,BPI(95.049204Â±3ppm),141818,163.13895650333299,C8H12O,124.08880000000001,CC/C=C/C=C/C(C)=O,2,"(E,E)-3,5-Octadien-2-one",30086-02-3
231,*1 231,GCxGC,3.5127314814814817E-3,1.9748600000000001,63,BPI(95.04859Â±0.00100),151500,86.3061751726529,C8H12O,124.08880000000001,CC/C=C/C=C/C(C)=O,NA,"(E,E)-3,5-Octadien-2-one",30086-02-3
230,NA,LC+,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,(Pyrimidin-2-yl)acetic acid,66621-73-6
228,NA,LC+,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,(Pyrimidin-2-yl)acetic acid,66621-73-6
229,NA,LC+,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,(Pyrimidin-2-yl)acetic acid,66621-73-6
230,6.87,LC,NA,lc,Qualitative,NA,NA,NA,NA,mz 202.10837,CCC(NC(=O)OC(C)(C)C)C(O)=O,3,(S)-2-((tert)-butoxycarbonyl)amino)butanoic acid,34306-42-8
222,274 222,GCxGC,1.3510300925925927E-2,2.27657,215,BPI(85.028372Â±3ppm),122753,589.01093206362702,C12H20O2,196.1463,CCCCC\C=C/CC1CCC(=O)O1,2,(Z)-dihydro-5-(2-octenyl)furan-2(3H)-one,18679-18-0
