ID,min_Rt,Max_Rt,Ave_Rt,min_Mz,max_Mz,Ave_Mz,QuantArea,matrix,Method,sample_no
0,0.51,0.51,0.51,584.454,584.454,584.454,34129,Effluent,decon+ULSA,225
1,0.52,0.52,0.52,628.484,628.484,628.484,12616,Effluent,decon+ULSA,225
2,0.52,0.52,0.52,412.347,412.347,412.347,60977,Effluent,decon+ULSA,225
3,0.55,0.59,0.57,214.101,214.104,214.103,108264,Effluent,decon+ULSA,221
3,0.55,0.59,0.57,214.101,214.104,214.103,227306,Effluent,decon+ULSA,225
4,0.63,0.63,0.63,196.18,196.18,196.18,388777,Effluent,decon+ULSA,224
5,0.67,0.67,0.67,214.101,214.101,214.101,223745,Effluent,decon+ULSA,220
5,0.67,0.67,0.67,214.101,214.101,214.101,192055,Effluent,decon+ULSA,222
6,0.72,0.76,0.74,214.101,214.104,214.102,325273,Effluent,decon+ULSA,219
6,0.72,0.76,0.74,214.101,214.104,214.102,199218,Effluent,decon+ULSA,220
6,0.72,0.76,0.74,214.101,214.104,214.102,192055,Effluent,decon+ULSA,222
7,0.74,0.77,0.75,196.18,196.182,196.182,386091,Effluent,decon+ULSA,220
7,0.74,0.77,0.75,196.18,196.182,196.182,385787,Effluent,decon+ULSA,221
7,0.74,0.77,0.75,196.18,196.182,196.182,393200,Effluent,decon+ULSA,224
8,0.84,0.84,0.84,214.101,214.101,214.101,194519,Effluent,decon+ULSA,224
9,0.86,0.86,0.86,125.994,125.994,125.994,75715,Effluent,decon+ULSA,225
11,0.94,0.94,0.94,196.18,196.18,196.18,394778,Effluent,decon+ULSA,221
11,0.94,0.94,0.94,196.18,196.18,196.18,391895,Effluent,decon+ULSA,223
12,0.99,0.99,0.99,197.183,197.183,197.183,65571,Effluent,decon+ULSA,225
13,1.01,1.02,1.02,196.18,196.182,196.181,385346,Effluent,decon+ULSA,223
13,1.01,1.02,1.02,196.18,196.182,196.181,457537,Effluent,decon+ULSA,224
14,1.01,1.05,1.04,214.101,214.101,214.101,195852,Effluent,decon+ULSA,219
14,1.01,1.05,1.04,214.101,214.101,214.101,198525,Effluent,decon+ULSA,223
14,1.01,1.05,1.04,214.101,214.101,214.101,234004,Effluent,decon+ULSA,224
15,1.07,1.07,1.07,167.023,167.023,167.023,79644,Effluent,decon+ULSA,224
16,1.08,1.1,1.09,196.18,196.18,196.18,322940,Effluent,decon+ULSA,220
16,1.08,1.1,1.09,196.18,196.18,196.18,329574,Effluent,decon+ULSA,221
16,1.08,1.1,1.09,196.18,196.18,196.18,267523,Effluent,decon+ULSA,223
18,1.14,1.14,1.14,255.959,255.959,255.959,61673,Effluent,decon+ULSA,221
19,1.14,1.16,1.15,167.021,167.023,167.023,204934,Effluent,decon+ULSA,219
19,1.14,1.16,1.15,167.021,167.023,167.023,92216,Effluent,decon+ULSA,220
19,1.14,1.16,1.15,167.021,167.023,167.023,152858,Effluent,decon+ULSA,221
19,1.14,1.16,1.15,167.021,167.023,167.023,180975,Effluent,decon+ULSA,225
20,1.15,1.16,1.15,214.101,214.101,214.101,247742,Effluent,decon+ULSA,220
20,1.15,1.16,1.15,214.101,214.101,214.101,192637,Effluent,decon+ULSA,222
20,1.15,1.16,1.15,214.101,214.101,214.101,205963,Effluent,decon+ULSA,223
21,1.17,1.17,1.17,365.125,365.125,365.125,91275,Effluent,decon+ULSA,219
21,1.17,1.17,1.17,365.125,365.125,365.125,90818,Effluent,decon+ULSA,221
22,1.14,1.19,1.17,125.985,125.994,125.991,277062,Effluent,decon+ULSA,221
23,1.2,1.22,1.21,255.959,255.959,255.959,88876,Effluent,decon+ULSA,219
23,1.2,1.22,1.21,255.959,255.959,255.959,90078,Effluent,decon+ULSA,221
23,1.2,1.22,1.21,255.959,255.959,255.959,204096,Effluent,decon+ULSA,223
24,1.2,1.23,1.21,385.921,385.925,385.923,87419,Effluent,decon+ULSA,223
24,1.2,1.23,1.21,385.921,385.925,385.923,70869,Effluent,decon+ULSA,224
26,1.21,1.23,1.22,167.023,167.023,167.023,182749,Effluent,decon+ULSA,219
26,1.21,1.23,1.22,167.023,167.023,167.023,304097,Effluent,decon+ULSA,224
27,1.21,1.23,1.22,214.104,214.104,214.104,171150,Effluent,decon+ULSA,220
27,1.21,1.23,1.22,214.104,214.104,214.104,181087,Effluent,decon+ULSA,223
28,1.25,1.25,1.25,282.92,282.92,282.92,89894,Effluent,decon+ULSA,224
29,1.27,1.29,1.28,196.18,196.182,196.181,243510,Effluent,decon+ULSA,220
29,1.27,1.29,1.28,196.18,196.182,196.181,179628,Effluent,decon+ULSA,223
30,1.27,1.29,1.28,125.992,125.994,125.993,237879,Effluent,decon+ULSA,219
30,1.27,1.29,1.28,125.992,125.994,125.993,198805,Effluent,decon+ULSA,221
31,1.31,1.31,1.31,255.959,255.959,255.959,96103,Effluent,decon+ULSA,224
32,1.28,1.36,1.33,167.021,167.026,167.023,73067,Effluent,decon+ULSA,219
32,1.28,1.36,1.33,167.021,167.026,167.023,100054,Effluent,decon+ULSA,224
34,1.37,1.37,1.37,252.158,252.158,252.158,75762,Effluent,decon+ULSA,224
36,1.38,1.38,1.38,125.992,125.992,125.992,120985,Effluent,decon+ULSA,224
37,1.38,1.4,1.39,196.182,196.182,196.182,273224,Effluent,decon+ULSA,221
37,1.38,1.4,1.39,196.182,196.182,196.182,293337,Effluent,decon+ULSA,225
39,1.4,1.44,1.42,214.101,214.104,214.103,206512,Effluent,decon+ULSA,223
39,1.4,1.44,1.42,214.101,214.104,214.103,217401,Effluent,decon+ULSA,225
41,1.47,1.47,1.47,282.208,282.208,282.208,56350,Effluent,decon+ULSA,224
42,1.46,1.49,1.48,196.182,196.182,196.182,291012,Effluent,decon+ULSA,223
42,1.46,1.49,1.48,196.182,196.182,196.182,235812,Effluent,decon+ULSA,224
43,1.48,1.48,1.48,178.153,178.153,178.153,160763,Effluent,decon+ULSA,224
44,1.49,1.49,1.49,168.114,168.114,168.114,45709,Effluent,decon+ULSA,224
45,1.49,1.5,1.5,214.101,214.101,214.101,227406,Effluent,decon+ULSA,221
46,1.49,1.53,1.5,236.77,236.77,236.77,108515,Effluent,decon+ULSA,219
46,1.49,1.53,1.5,236.77,236.77,236.77,183963,Effluent,decon+ULSA,220
46,1.49,1.53,1.5,236.77,236.77,236.77,96103,Effluent,decon+ULSA,221
46,1.49,1.53,1.5,236.77,236.77,236.77,97252,Effluent,decon+ULSA,222
46,1.49,1.53,1.5,236.77,236.77,236.77,135495,Effluent,decon+ULSA,223
46,1.49,1.53,1.5,236.77,236.77,236.77,92996,Effluent,decon+ULSA,224
47,1.51,1.51,1.51,192.17,192.17,192.17,149626,Effluent,decon+ULSA,223
48,1.55,1.55,1.55,220.131,220.131,220.131,90162,Effluent,decon+ULSA,225
49,1.54,1.59,1.56,164.137,164.137,164.137,78891,Effluent,decon+ULSA,222
49,1.54,1.59,1.56,164.137,164.137,164.137,70946,Effluent,decon+ULSA,224
50,1.53,1.58,1.56,196.182,196.182,196.182,496173,Effluent,decon+ULSA,222
50,1.53,1.58,1.56,196.182,196.182,196.182,341530,Effluent,decon+ULSA,224
50,1.53,1.58,1.56,196.182,196.182,196.182,328471,Effluent,decon+ULSA,225
51,1.54,1.58,1.57,307.845,307.852,307.847,88295,Effluent,decon+ULSA,220
51,1.54,1.58,1.57,307.845,307.852,307.847,71404,Effluent,decon+ULSA,222
51,1.54,1.58,1.57,307.845,307.852,307.847,125839,Effluent,decon+ULSA,223
51,1.54,1.58,1.57,307.845,307.852,307.847,87556,Effluent,decon+ULSA,225
52,1.54,1.58,1.57,214.101,214.104,214.102,203866,Effluent,decon+ULSA,219
52,1.54,1.58,1.57,214.101,214.104,214.102,213474,Effluent,decon+ULSA,220
52,1.54,1.58,1.57,214.101,214.104,214.102,264769,Effluent,decon+ULSA,222
53,1.58,1.58,1.58,274.108,274.108,274.108,93545,Effluent,decon+ULSA,222
54,1.59,1.59,1.59,343.164,343.164,343.164,143445,Effluent,decon+ULSA,221
55,1.59,1.59,1.59,199.089,199.089,199.089,111237,Effluent,decon+ULSA,221
56,1.59,1.59,1.59,271.13,271.13,271.13,107201,Effluent,decon+ULSA,221
