Name_original,Name,CAS,Norman_SusDat_ID,Norman_matched,Norman_matched_Synonym_Reliability,CAS_RN,DTXSID,Molecular_Formula
&#916;8-THC,&#916;8-THC,NA,NA,NA,NA,NA,NA,NA
&#933;-Hydroxynorfentanyl,&#933;-Hydroxynorfentanyl,NA,NA,NA,NA,NA,NA,NA
&#933;-L-Glutamyl-L-glutamic acid,&#933;-L-Glutamyl-L-glutamic acid,1116-22-9,NS00015098,Name,NA,CAS_RN: 1116-22-9,NA,C10H16N2O7
&#945;-Aspartylphenylalanine,&#945;-Aspartylphenylalanine,13433-09-5,NS00014795,Name,NA,CAS_RN: 13433-09-5,NA,C13H16N2O5
&#945;-Cyano-3-hydroxycinnamic acid,&#945;-Cyano-3-hydroxycinnamic acid,54673-07-3,NS00015329,Name,NA,CAS_RN: 54673-07-3,NA,C10H7N1O3
&#945;-Cyano-4-hydroxycinnamic acid,&#945;-Cyano-4-hydroxycinnamic acid,28166-41-8,NS00015227,Name,NA,CAS_RN: 28166-41-8,NA,C10H7N1O3
"&#945;-D-Glucose-1,6-bisphosphate","&#945;-D-Glucose-1,6-bisphosphate",10139-18-1,NS00015296,Name,NA,CAS_RN: 10139-18-1,NA,C6H14O12P2
&#945;-D-Mannose 1-phosphate,&#945;-D-Mannose 1-phosphate,15978-07-1,NS00015212,Name,NA,CAS_RN: 15978-07-1,NA,C6H13O9P1
&#945;-Dimethylaminopentiophenone,&#945;-Dimethylaminopentiophenone,NA,NS00018434,Name,NA,NA,NA,C13H19N1O1
&#945;-Eleostearic acid,&#945;-Eleostearic acid,506-23-0,NS00018678,Name,NA,CAS_RN: 506-23-0,NA,C18H30O2
&#945;-Ethylaminopentiophenone,&#945;-Ethylaminopentiophenone,NA,NS00017410,Name,NA,NA,NA,C13H19N1O1
&#945;-Hydroxyhippuric acid,&#945;-Hydroxyhippuric acid,16555-77-4,NS00014792,Name,NA,CAS_RN: 16555-77-4,NA,C9H9N1O4
&#945;-Lapachone,&#945;-Lapachone,NA,NA,NA,NA,NA,NA,NA
&#945;-Linolenoyl ethanolamide,&#945;-Linolenoyl ethanolamide,NA,NA,NA,NA,NA,NA,NA
&#945;-Methyl-DL-histidine,&#945;-Methyl-DL-histidine,NA,NA,NA,NA,NA,NA,NA
&#945;-Methyltryptamine,&#945;-Methyltryptamine,299-26-3,NS00017916,Name,NA,CAS_RN: 299-26-3,NA,C11H14N2
&#945;-Piperidinobutiophenone,&#945;-Piperidinobutiophenone,NA,NS00018441,Name,NA,NA,NA,C15H21N1O1
&#945;-Propylaminopentiophenone,&#945;-Propylaminopentiophenone,NA,NS00017755,Name,NA,NA,NA,C14H21N1O1
&#945;-Pyrrolidinobutiothiophenone,&#945;-Pyrrolidinobutiothiophenone,NA,NS00017398,Name,NA,NA,NA,C12H17N1O1S1
&#945;-Pyrrolidinononanophenone,&#945;-Pyrrolidinononanophenone,NA,NS00017359,Name,NA,NA,NA,C19H29N1O1
&#945;-Pyrrolidinopentiothiophenone,&#945;-Pyrrolidinopentiothiophenone,NA,NA,NA,NA,NA,NA,NA
&#945;-Pyrrolidinopropiophenone,&#945;-Pyrrolidinopropiophenone,19134-50-0,NS00017320,Name,NA,CAS_RN: 19134-50-0,NA,C13H17N1O1
&#945;-Pyrrolidinovalerophenone,&#945;-Pyrrolidinovalerophenone,NA,NA,NA,NA,NA,NA,NA
&#945; Methylfentanyl,&#945; Methylfentanyl,NA,NA,NA,NA,NA,NA,NA
"&#945;,&#945;-Diphenylglycine","&#945;,&#945;-Diphenylglycine",NA,NA,NA,NA,NA,NA,NA
"&#945;,&#945;-Trehalose","&#945;,&#945;-Trehalose",NA,NA,NA,NA,NA,NA,NA
&#946;-Asarone,&#946;-Asarone,5273-86-9,NS00018012,Name,NA,CAS_RN: 5273-86-9,NA,C12H16O3
&#946;-Cortolone,&#946;-Cortolone,NA,NS00018330,Name,NA,NA,NA,C21H34O5
&#946;-D-Fructose 6-phosphate,&#946;-D-Fructose 6-phosphate,NA,NA,NA,NA,NA,NA,NA
&#946;-Estradiol-17&#946;-glucuronide,&#946;-Estradiol-17&#946;-glucuronide,NA,NA,NA,NA,NA,NA,NA
&#946;-Hydroxyfentanyl,&#946;-Hydroxyfentanyl,78995-10-5,NS00015379,Name,NA,CAS_RN: 78995-10-5,NA,C22H28N2O2
&#946;-Hydroxythiofentanyl,&#946;-Hydroxythiofentanyl,NA,NS00017211,Name,NA,NA,NA,C20H26N2O2S1
