Concentration,MolecularFormula,CorrectionFactor,newConcentration,Method,Name,sample_no
588.59,C8H12O,1.9,1118,GCxGC,"(E,E)-3,5-Octadien-2-one",228
696.89,C8H12O,1.9,1324,GCxGC,"(E,E)-3,5-Octadien-2-one",229
698.51,C8H12O,1.9,1320,GCxGC,"(E,E)-3,5-Octadien-2-one",230
86.31,C8H12O,1.9,163,GCxGC,"(E,E)-3,5-Octadien-2-one",231
326.98,C8H12O,1.9,618,GCxGC,"(E,E)-3,5-Octadien-2-one",232
164,C8H12O,1.9,310,GCxGC,"(E,E)-3,5-Octadien-2-one",233
163.14,C8H12O,1.9,308,GCxGC,"(E,E)-3,5-Octadien-2-one",234
3.59,C10H22O3,1.1,4,GCxGC,1-(2-Butoxy-1-methylethoxy)propan-2-ol,230
97.54,C9H10O3,0.98,88,GCxGC,"1-(2,4-Dihydroxy-3-methylphenyl)ethanone",228
207.32,C9H10O3,0.98,187,GCxGC,"1-(2,4-Dihydroxy-3-methylphenyl)ethanone",229
43.64,C9H10O3,0.95,42,GCxGC,"1-(2,4-Dihydroxy-3-methylphenyl)ethanone",230
7.99,C9H10O3,1,7.6,GCxGC,"1-(2,4-Dihydroxy-3-methylphenyl)ethanone",231
37.94,C9H10O3,1,36,GCxGC,"1-(2,4-Dihydroxy-3-methylphenyl)ethanone",232
23.76,C14H14,2.2,52,GCxGC,"1,1'-Biphenyl, 2,3'-dimethyl-",228
42.72,C14H14,2.2,94,GCxGC,"1,1'-Biphenyl, 2,3'-dimethyl-",229
37.95,C14H14,2.2,82,GCxGC,"1,1'-Biphenyl, 2,3'-dimethyl-",230
12.51,C14H14,2,25,GCxGC,"1,1'-Biphenyl, 2,4'-dimethyl-",228
18.94,C14H14,2,38,GCxGC,"1,1'-Biphenyl, 2,4'-dimethyl-",229
16.96,C14H14,2,34,GCxGC,"1,1'-Biphenyl, 2,4'-dimethyl-",230
458.54,C7H5NS,1.2,555,GCxGC,"1,2-Benzisothiazole",232
1297.39,C7H5NS,1.2,1570,GCxGC,"1,2-Benzisothiazole",233
40.07,C7H5NS,1.2,48,GCxGC,"1,2-Benzisothiazole",234
2.66,C13H16,1.8,4.8,GCxGC,"1,2-Dihydro-1,1,6-trimethylnaphthalene",228
6.18,C13H16,1.8,11,GCxGC,"1,2-Dihydro-1,1,6-trimethylnaphthalene",229
100.1,C13H16,1.8,179,GCxGC,"1,2-Dihydro-1,1,6-trimethylnaphthalene",233
62.84,C13H18,1.2,76,GCxGC,"1,2,3,4-Tetrahydro-1,6,8-trimethylnaphthalene",233
12.48,C7H8O2,1.4,18,GCxGC,"1,3-Benzenediol, 5-methyl-",229
37.7,C7H8O2,1.4,52,GCxGC,"1,3-Benzenediol, 5-methyl-",230
545.81,C10H16,3.3,1779,GCxGC,"1,5-Cyclooctadiene, 1,5-dimethyl-",232
136.39,C10H16,3.3,445,GCxGC,"1,5-Cyclooctadiene, 1,5-dimethyl-",233
327.18,C10H16,3.3,1067,GCxGC,"1,5-Cyclooctadiene, 1,5-dimethyl-",234
313.62,C23H40O3,1.3,408,GCxGC,"11-(3,4-Dimethyl-5-pentyl-2-furyl)-dodecanoic acid, methyl ester",228
588.78,C23H40O3,1.3,765,GCxGC,"11-(3,4-Dimethyl-5-pentyl-2-furyl)-dodecanoic acid, methyl ester",229
1055.79,C23H40O3,1.3,1330,GCxGC,"11-(3,4-Dimethyl-5-pentyl-2-furyl)-dodecanoic acid, methyl ester",230
7225.3,C23H40O3,1.3,9103,GCxGC,"11-(3,4-Dimethyl-5-pentyl-2-furyl)-dodecanoic acid, methyl ester",231
